audit_id,table_name,record_id,operation,changed_by,change_time,change_summary
1,customers,112,INSERT,admin,2021-11-09,Updated status
2,branches,500,DELETE,admin,2019-02-23,Automated job
3,accounts,752,DELETE,emp300,2021-05-27,Removed duplicate
4,loan_applications,427,UPDATE,emp667,2023-01-20,Created record
5,accounts,39,DELETE,admin,2020-08-23,Removed duplicate
6,loan_applications,784,UPDATE,system,2018-11-29,Corrected amount
7,payments,383,INSERT,system,2021-12-10,Corrected amount
8,employees,759,INSERT,emp130,2025-08-21,Automated job
9,credit_reports,470,UPDATE,emp397,2018-08-19,Automated job
10,accounts,315,DELETE,admin,2019-01-09,Updated status
11,payments,111,DELETE,system,2024-03-22,Created record
12,loan_applications,104,UPDATE,admin,2022-02-27,Automated job
13,credit_reports,59,INSERT,admin,2024-10-15,Removed duplicate
14,loans,446,INSERT,system,2022-05-03,Automated job
15,loan_applications,278,DELETE,admin,2021-07-09,Removed duplicate
16,customers,981,UPDATE,system,2022-10-21,Created record
17,loans,252,UPDATE,emp18,2018-12-02,Corrected amount
18,accounts,184,DELETE,system,2018-04-14,Created record
19,loan_applications,27,UPDATE,emp441,2024-08-28,Corrected amount
20,loans,24,INSERT,admin,2019-03-24,Removed duplicate
21,accounts,796,INSERT,admin,2021-05-16,Updated status
22,payment_schedule,179,INSERT,admin,2019-07-17,Corrected amount
23,employees,690,DELETE,admin,2022-01-12,Removed duplicate
24,customers,745,DELETE,emp487,2021-03-28,Created record
25,payments,984,UPDATE,emp153,2018-06-11,Removed duplicate
26,payments,323,UPDATE,admin,2020-05-18,Removed duplicate
27,employees,514,UPDATE,system,2024-06-24,Removed duplicate
28,loan_applications,214,DELETE,admin,2022-01-28,Updated status
29,loans,547,UPDATE,emp890,2021-07-28,Corrected amount
30,loans,123,UPDATE,emp277,2021-04-09,Updated status
31,employees,952,INSERT,emp296,2024-02-21,Removed duplicate
32,accounts,912,UPDATE,emp241,2024-01-24,Automated job
33,credit_reports,572,UPDATE,emp749,2022-10-12,Corrected amount
34,loan_products,951,UPDATE,admin,2019-09-24,Corrected amount
35,branches,582,DELETE,admin,2020-02-26,Updated status
36,accounts,340,DELETE,admin,2025-08-29,Created record
37,loan_products,335,UPDATE,emp981,2023-12-08,Automated job
38,customers,889,UPDATE,admin,2021-10-23,Automated job
39,credit_reports,341,UPDATE,emp356,2025-01-14,Corrected amount
40,loans,993,DELETE,system,2020-09-05,Removed duplicate
41,branches,867,UPDATE,system,2023-08-20,Created record
42,loan_applications,970,UPDATE,emp562,2021-07-05,Created record
43,loan_applications,101,DELETE,system,2021-06-15,Created record
44,loans,469,UPDATE,system,2025-02-11,Removed duplicate
45,branches,128,UPDATE,admin,2021-10-22,Created record
46,payments,645,INSERT,admin,2020-09-29,Removed duplicate
47,payments,307,INSERT,emp159,2019-05-20,Created record
48,payment_schedule,355,UPDATE,admin,2023-10-30,Created record
49,credit_reports,399,INSERT,system,2020-02-08,Corrected amount
50,loan_applications,22,DELETE,system,2022-11-26,Updated status
51,credit_reports,618,INSERT,system,2018-08-09,Corrected amount
52,loans,505,UPDATE,emp987,2024-06-13,Created record
53,payment_schedule,368,UPDATE,system,2020-02-26,Removed duplicate
54,loans,825,INSERT,emp198,2024-09-25,Updated status
55,employees,715,INSERT,emp703,2018-07-11,Automated job
56,loan_products,121,DELETE,emp988,2020-06-07,Automated job
57,accounts,483,INSERT,admin,2024-02-24,Created record
58,branches,970,UPDATE,system,2024-04-08,Automated job
59,loan_products,880,DELETE,system,2024-03-10,Removed duplicate
60,customers,711,UPDATE,system,2022-10-27,Automated job
61,credit_reports,954,INSERT,emp843,2018-12-29,Removed duplicate
62,loans,34,DELETE,emp556,2020-07-11,Automated job
63,employees,680,INSERT,emp503,2021-04-16,Automated job
64,branches,111,UPDATE,system,2021-06-02,Updated status
65,payments,287,UPDATE,admin,2023-10-18,Automated job
66,payment_schedule,490,DELETE,admin,2021-02-28,Updated status
67,loans,836,INSERT,system,2019-12-30,Corrected amount
68,customers,93,UPDATE,emp790,2025-06-21,Corrected amount
69,credit_reports,585,UPDATE,emp157,2018-05-25,Updated status
70,loans,861,INSERT,emp37,2018-02-14,Created record
71,accounts,389,DELETE,system,2018-09-05,Created record
72,accounts,235,DELETE,system,2022-01-31,Corrected amount
73,loan_applications,51,UPDATE,admin,2024-02-06,Created record
74,customers,869,DELETE,system,2019-01-11,Corrected amount
75,loans,396,UPDATE,system,2021-06-06,Updated status
76,employees,507,UPDATE,admin,2018-01-13,Corrected amount
77,employees,89,INSERT,emp514,2018-08-07,Updated status
78,payments,915,UPDATE,emp633,2020-04-11,Corrected amount
79,accounts,265,DELETE,system,2022-07-16,Corrected amount
80,accounts,381,INSERT,system,2020-05-29,Created record
81,customers,501,DELETE,emp958,2018-01-28,Corrected amount
82,payments,453,INSERT,system,2021-11-10,Removed duplicate
83,payments,916,INSERT,emp509,2020-11-20,Updated status
84,credit_reports,560,DELETE,emp623,2024-12-04,Created record
85,customers,779,INSERT,emp947,2019-11-22,Corrected amount
86,loans,23,INSERT,emp823,2023-01-15,Removed duplicate
87,payments,811,INSERT,system,2019-06-29,Corrected amount
88,loan_applications,1000,UPDATE,system,2021-04-26,Corrected amount
89,loan_products,100,INSERT,admin,2021-06-26,Automated job
90,credit_reports,179,INSERT,admin,2019-12-20,Removed duplicate
91,payment_schedule,788,DELETE,emp153,2024-12-22,Corrected amount
92,branches,676,DELETE,system,2023-04-21,Automated job
93,employees,208,UPDATE,emp492,2022-11-24,Created record
94,employees,538,UPDATE,admin,2025-06-30,Automated job
95,employees,649,INSERT,emp394,2023-12-16,Updated status
96,customers,901,DELETE,emp316,2021-06-09,Corrected amount
97,loan_applications,4,DELETE,emp477,2020-05-14,Updated status
98,branches,618,DELETE,emp489,2020-06-27,Automated job
99,loans,722,UPDATE,emp862,2024-08-23,Automated job
100,loan_applications,768,INSERT,emp509,2021-04-11,Automated job
101,customers,643,DELETE,system,2021-06-07,Corrected amount
102,payments,901,INSERT,admin,2021-04-21,Removed duplicate
103,payment_schedule,493,UPDATE,system,2021-10-17,Automated job
104,loan_products,256,INSERT,emp86,2018-10-16,Corrected amount
105,accounts,858,INSERT,emp737,2025-01-04,Automated job
106,employees,360,DELETE,admin,2023-12-22,Created record
107,loans,201,UPDATE,admin,2024-04-16,Automated job
108,employees,394,INSERT,admin,2024-03-13,Updated status
109,payments,152,INSERT,system,2019-02-19,Created record
110,payments,673,DELETE,admin,2019-11-08,Updated status
111,loans,738,UPDATE,admin,2021-03-18,Corrected amount
112,customers,20,INSERT,system,2022-07-06,Automated job
113,loan_products,58,INSERT,admin,2020-05-28,Updated status
114,payment_schedule,482,INSERT,system,2020-02-10,Created record
115,loan_products,300,INSERT,emp285,2020-07-01,Removed duplicate
116,loan_applications,449,UPDATE,system,2025-08-19,Corrected amount
117,loan_applications,885,DELETE,system,2020-08-07,Updated status
118,customers,69,UPDATE,admin,2020-12-10,Automated job
119,customers,402,UPDATE,admin,2019-01-06,Corrected amount
120,employees,431,UPDATE,system,2021-10-07,Created record
121,customers,149,DELETE,system,2019-09-24,Created record
122,loan_applications,445,INSERT,emp913,2023-05-21,Created record
123,credit_reports,961,UPDATE,emp934,2019-12-12,Updated status
124,credit_reports,339,INSERT,emp969,2024-04-30,Removed duplicate
125,loans,84,UPDATE,system,2019-02-08,Automated job
126,customers,801,UPDATE,emp275,2018-04-25,Automated job
127,loans,744,INSERT,admin,2018-02-25,Automated job
128,payment_schedule,788,INSERT,system,2024-11-27,Removed duplicate
129,loan_products,713,DELETE,emp606,2025-01-22,Automated job
130,customers,606,DELETE,admin,2022-10-11,Corrected amount
131,employees,232,INSERT,admin,2023-08-09,Created record
132,customers,532,DELETE,system,2023-01-08,Corrected amount
133,loan_products,433,UPDATE,system,2021-08-05,Removed duplicate
134,accounts,51,DELETE,admin,2022-10-28,Removed duplicate
135,accounts,832,DELETE,system,2019-04-30,Removed duplicate
136,loans,24,INSERT,admin,2022-02-14,Updated status
137,loan_applications,480,DELETE,emp307,2018-09-28,Corrected amount
138,credit_reports,956,DELETE,admin,2022-02-15,Created record
139,payments,527,DELETE,system,2019-01-02,Created record
140,employees,83,UPDATE,system,2024-01-01,Removed duplicate
141,loan_applications,279,DELETE,admin,2021-08-05,Created record
142,payment_schedule,630,UPDATE,system,2023-01-29,Corrected amount
143,customers,675,INSERT,system,2024-05-29,Corrected amount
144,credit_reports,25,INSERT,emp197,2020-04-02,Corrected amount
145,loans,703,UPDATE,emp574,2024-11-15,Removed duplicate
146,loan_applications,473,INSERT,emp989,2025-02-14,Automated job
147,loan_applications,476,INSERT,emp47,2022-09-27,Automated job
148,credit_reports,356,INSERT,emp641,2019-11-21,Corrected amount
149,branches,179,INSERT,system,2024-01-05,Automated job
150,loan_applications,46,INSERT,emp551,2021-04-25,Removed duplicate
151,payments,971,INSERT,emp282,2024-06-08,Removed duplicate
152,loans,756,UPDATE,admin,2019-10-20,Updated status
153,loan_applications,800,DELETE,admin,2022-01-02,Updated status
154,customers,437,INSERT,emp122,2024-05-04,Automated job
155,loan_applications,205,INSERT,system,2019-06-15,Removed duplicate
156,accounts,817,INSERT,system,2023-03-12,Corrected amount
157,payment_schedule,902,DELETE,emp664,2022-01-30,Automated job
158,accounts,220,INSERT,system,2021-08-18,Updated status
159,accounts,794,UPDATE,admin,2018-09-06,Automated job
160,loan_applications,5,DELETE,admin,2019-07-23,Automated job
161,payment_schedule,529,INSERT,system,2018-07-31,Corrected amount
162,employees,500,INSERT,system,2019-07-10,Removed duplicate
163,employees,932,DELETE,emp960,2022-10-24,Updated status
164,customers,711,DELETE,emp536,2018-05-27,Corrected amount
165,customers,150,INSERT,admin,2023-12-14,Automated job
166,loans,219,DELETE,admin,2023-06-23,Created record
167,customers,488,INSERT,emp883,2021-07-18,Updated status
168,credit_reports,703,INSERT,system,2020-10-15,Created record
169,branches,946,INSERT,admin,2020-06-08,Updated status
170,loan_products,23,INSERT,system,2025-04-29,Corrected amount
171,branches,37,DELETE,admin,2021-10-27,Corrected amount
172,accounts,509,INSERT,admin,2023-10-11,Updated status
173,loan_products,709,DELETE,emp875,2024-02-11,Created record
174,payments,796,UPDATE,emp193,2023-02-15,Created record
175,credit_reports,843,DELETE,admin,2025-03-15,Updated status
176,branches,955,UPDATE,system,2021-11-15,Created record
177,accounts,947,UPDATE,system,2024-09-19,Automated job
178,payments,531,UPDATE,emp568,2024-09-02,Removed duplicate
179,payment_schedule,519,DELETE,admin,2021-05-09,Removed duplicate
180,customers,265,DELETE,emp902,2019-12-01,Updated status
181,loans,810,DELETE,system,2019-11-08,Corrected amount
182,customers,311,UPDATE,system,2019-01-19,Removed duplicate
183,credit_reports,143,UPDATE,admin,2024-02-10,Corrected amount
184,branches,991,UPDATE,emp446,2019-09-07,Corrected amount
185,loan_applications,27,INSERT,system,2025-06-30,Created record
186,loan_products,161,DELETE,admin,2019-04-15,Automated job
187,loan_products,104,DELETE,emp420,2023-02-13,Removed duplicate
188,loans,758,INSERT,admin,2022-06-26,Automated job
189,loans,419,DELETE,emp186,2022-03-23,Automated job
190,payment_schedule,481,INSERT,emp749,2019-10-03,Created record
191,payments,200,INSERT,system,2018-10-05,Created record
192,accounts,288,UPDATE,emp220,2024-07-24,Corrected amount
193,credit_reports,5,DELETE,system,2023-12-16,Removed duplicate
194,credit_reports,152,DELETE,system,2019-05-21,Removed duplicate
195,loans,786,UPDATE,system,2019-07-18,Removed duplicate
196,loan_applications,70,DELETE,admin,2024-05-21,Removed duplicate
197,branches,445,INSERT,system,2022-05-14,Updated status
198,customers,216,UPDATE,system,2021-12-20,Removed duplicate
199,employees,591,DELETE,admin,2022-11-23,Removed duplicate
200,loan_applications,289,DELETE,admin,2018-10-31,Corrected amount
201,accounts,976,INSERT,system,2018-04-12,Removed duplicate
202,employees,885,INSERT,system,2025-06-10,Removed duplicate
203,credit_reports,612,INSERT,admin,2018-02-10,Removed duplicate
204,branches,197,DELETE,emp832,2024-04-27,Corrected amount
205,loans,474,INSERT,admin,2020-06-20,Corrected amount
206,accounts,305,UPDATE,system,2025-06-26,Corrected amount
207,accounts,132,INSERT,admin,2022-12-29,Created record
208,employees,742,UPDATE,emp51,2021-02-21,Automated job
209,loan_applications,843,INSERT,emp270,2020-12-25,Updated status
210,payment_schedule,806,DELETE,admin,2022-01-29,Removed duplicate
211,credit_reports,419,UPDATE,admin,2023-05-25,Created record
212,branches,861,INSERT,admin,2018-07-02,Removed duplicate
213,loan_applications,247,UPDATE,system,2022-01-01,Automated job
214,accounts,635,UPDATE,system,2021-07-16,Removed duplicate
215,customers,365,UPDATE,system,2025-05-27,Removed duplicate
216,accounts,387,UPDATE,system,2020-11-12,Automated job
217,employees,226,UPDATE,admin,2019-02-27,Removed duplicate
218,payment_schedule,932,INSERT,emp218,2021-05-20,Updated status
219,loans,114,UPDATE,system,2021-12-17,Updated status
220,accounts,894,DELETE,admin,2021-03-21,Updated status
221,loan_products,314,UPDATE,emp98,2018-03-08,Corrected amount
222,loan_applications,323,DELETE,emp44,2021-10-01,Automated job
223,loan_products,783,DELETE,admin,2020-02-26,Removed duplicate
224,loan_applications,78,UPDATE,admin,2018-08-23,Corrected amount
225,employees,550,INSERT,system,2021-12-18,Updated status
226,customers,591,INSERT,system,2023-02-23,Automated job
227,loan_applications,784,UPDATE,emp94,2024-02-02,Created record
228,accounts,367,INSERT,admin,2021-09-21,Created record
229,loan_applications,332,UPDATE,system,2019-04-05,Updated status
230,employees,282,INSERT,admin,2024-10-24,Corrected amount
231,loans,992,DELETE,admin,2018-06-28,Automated job
232,loans,600,UPDATE,emp3,2019-02-13,Updated status
233,loan_products,369,UPDATE,admin,2022-01-01,Automated job
234,loan_applications,585,INSERT,system,2018-10-15,Automated job
235,customers,114,UPDATE,system,2021-08-14,Updated status
236,payments,830,INSERT,admin,2018-12-20,Created record
237,accounts,786,INSERT,emp210,2024-02-23,Created record
238,payments,155,DELETE,emp364,2024-01-10,Updated status
239,payments,73,UPDATE,admin,2024-12-24,Created record
240,accounts,594,INSERT,emp843,2025-05-04,Removed duplicate
241,loans,76,UPDATE,admin,2019-05-10,Created record
242,loan_products,886,UPDATE,system,2024-03-15,Removed duplicate
243,loans,389,INSERT,system,2020-08-18,Removed duplicate
244,customers,178,INSERT,emp384,2024-02-11,Corrected amount
245,loan_applications,43,INSERT,system,2025-01-12,Automated job
246,payments,950,UPDATE,emp230,2020-03-25,Created record
247,accounts,121,INSERT,emp823,2020-01-27,Corrected amount
248,loan_applications,262,DELETE,system,2022-04-04,Removed duplicate
249,accounts,849,DELETE,emp114,2022-03-25,Updated status
250,employees,343,INSERT,system,2020-11-22,Created record
251,payments,3,INSERT,system,2022-09-13,Created record
252,accounts,10,UPDATE,admin,2021-02-01,Automated job
253,credit_reports,264,UPDATE,emp382,2024-12-10,Updated status
254,employees,930,INSERT,system,2021-04-28,Automated job
255,loan_products,944,INSERT,admin,2020-02-13,Corrected amount
256,payments,217,DELETE,system,2024-12-22,Corrected amount
257,employees,892,UPDATE,emp359,2023-08-16,Created record
258,customers,460,DELETE,system,2022-02-14,Automated job
259,accounts,345,UPDATE,admin,2020-09-04,Automated job
260,employees,572,DELETE,system,2018-12-28,Updated status
261,loan_applications,914,DELETE,admin,2023-06-16,Automated job
262,customers,945,UPDATE,system,2020-04-22,Created record
263,branches,493,INSERT,system,2025-08-28,Automated job
264,loans,396,INSERT,system,2022-07-13,Removed duplicate
265,loan_applications,101,INSERT,admin,2022-07-15,Updated status
266,payments,253,INSERT,admin,2023-02-23,Corrected amount
267,credit_reports,502,INSERT,admin,2018-11-22,Updated status
268,employees,295,INSERT,admin,2022-01-08,Automated job
269,loan_applications,918,DELETE,admin,2020-11-29,Updated status
270,customers,175,DELETE,admin,2019-09-03,Automated job
271,loan_products,787,UPDATE,system,2022-02-16,Automated job
272,payments,15,UPDATE,emp56,2024-03-24,Removed duplicate
273,credit_reports,313,UPDATE,emp476,2022-04-25,Corrected amount
274,employees,211,INSERT,system,2023-11-11,Updated status
275,accounts,275,DELETE,emp291,2020-08-07,Corrected amount
276,branches,416,DELETE,system,2020-05-31,Automated job
277,payments,605,INSERT,admin,2022-05-14,Created record
278,payments,717,INSERT,system,2020-03-15,Automated job
279,accounts,236,DELETE,admin,2019-07-17,Automated job
280,credit_reports,482,DELETE,admin,2025-05-16,Removed duplicate
281,payment_schedule,364,UPDATE,system,2022-09-15,Created record
282,loan_applications,680,INSERT,admin,2024-02-01,Removed duplicate
283,payments,370,DELETE,system,2024-09-13,Automated job
284,credit_reports,949,DELETE,admin,2019-12-25,Automated job
285,employees,302,UPDATE,system,2023-10-30,Updated status
286,customers,508,INSERT,admin,2021-11-24,Automated job
287,employees,975,DELETE,admin,2024-08-02,Corrected amount
288,loan_products,849,DELETE,system,2021-05-03,Corrected amount
289,customers,483,INSERT,emp593,2019-05-04,Automated job
290,credit_reports,884,UPDATE,admin,2019-04-22,Corrected amount
291,customers,799,DELETE,admin,2019-12-26,Updated status
292,employees,701,DELETE,system,2019-03-28,Removed duplicate
293,accounts,362,DELETE,admin,2019-07-01,Automated job
294,payment_schedule,705,UPDATE,admin,2019-11-30,Removed duplicate
295,loan_products,655,DELETE,emp867,2020-12-19,Corrected amount
296,loans,627,INSERT,emp1000,2024-02-01,Automated job
297,loan_applications,119,INSERT,admin,2025-07-24,Removed duplicate
298,credit_reports,770,DELETE,system,2022-12-22,Corrected amount
299,employees,769,DELETE,emp762,2022-05-23,Corrected amount
300,loan_products,873,DELETE,system,2018-04-07,Corrected amount
301,customers,44,DELETE,emp168,2023-01-31,Created record
302,loans,372,INSERT,admin,2020-01-29,Created record
303,accounts,8,INSERT,system,2023-10-08,Created record
304,payments,997,DELETE,admin,2022-12-26,Automated job
305,loans,85,DELETE,admin,2022-11-07,Updated status
306,payment_schedule,384,INSERT,emp271,2022-02-08,Corrected amount
307,customers,178,INSERT,system,2024-09-04,Created record
308,loans,795,UPDATE,emp161,2024-09-24,Updated status
309,customers,495,INSERT,system,2025-01-27,Automated job
310,credit_reports,364,DELETE,system,2021-07-11,Corrected amount
311,accounts,162,INSERT,system,2023-08-19,Removed duplicate
312,loans,861,DELETE,emp114,2024-09-25,Automated job
313,payments,459,INSERT,admin,2022-02-08,Updated status
314,customers,30,DELETE,admin,2020-06-01,Updated status
315,loan_applications,53,INSERT,emp642,2022-12-10,Created record
316,loan_applications,990,UPDATE,system,2022-10-28,Updated status
317,accounts,610,UPDATE,emp665,2022-05-29,Removed duplicate
318,accounts,73,UPDATE,system,2025-02-15,Removed duplicate
319,payment_schedule,816,DELETE,system,2020-04-20,Removed duplicate
320,credit_reports,837,UPDATE,emp53,2025-03-18,Created record
321,loan_applications,424,UPDATE,admin,2022-10-17,Created record
322,accounts,396,DELETE,system,2019-04-23,Removed duplicate
323,loans,958,DELETE,emp265,2021-09-28,Updated status
324,employees,545,DELETE,system,2021-09-21,Automated job
325,loans,187,INSERT,admin,2025-03-01,Removed duplicate
326,payments,752,INSERT,emp457,2023-03-08,Corrected amount
327,employees,60,INSERT,system,2019-01-04,Created record
328,loan_applications,887,DELETE,admin,2019-12-08,Automated job
329,customers,29,INSERT,emp382,2023-05-07,Created record
330,payment_schedule,688,DELETE,admin,2022-12-28,Corrected amount
331,loans,16,INSERT,system,2018-07-23,Removed duplicate
332,payment_schedule,972,DELETE,emp265,2023-04-21,Created record
